0.000,-0.000,0.670,-0.000,0.000,-0.000,4.081,-0.000,0.000,-0.000,-4.265,-0.000,-0.000,-0.000,4.081,-0.000,1.147,-1.445,3.177,-1.445,-1.147,1.445,3.177,1.445,1.147,1.445,3.177,1.445,-1.147,-1.445,3.177,-1.445
0.000,8.497,-0.000,4.081,0.000,5.087,-0.000,0.670,0.000,5.638,-0.000,-4.265,0.000,8.497,-0.000,4.081,-1.147,7.943,-1.445,3.177,-1.147,7.943,1.445,3.177,1.147,7.943,1.445,3.177,1.147,7.943,-1.445,3.177
-7.633,-0.000,-0.000,-0.000,-7.633,-0.000,-0.000,-0.000,-7.633,-0.000,0.000,-0.000,-19.397,-0.000,-0.000,-0.000,-8.238,-1.147,1.147,-1.147,-8.238,-1.147,-1.147,-1.147,-8.238,1.147,1.147,1.147,-8.238,1.147,-1.147,1.147
0.000,0.670,-0.000,5.087,0.000,4.081,-0.000,8.497,0.000,4.081,-0.000,8.497,0.000,-4.265,-0.000,5.638,1.147,3.177,-1.445,7.943,1.147,3.177,1.445,7.943,-1.147,3.177,1.445,7.943,-1.147,3.177,-1.445,7.943
0.000,-0.000,4.081,-0.000,0.000,-0.000,0.670,-0.000,-0.000,-0.000,4.081,-0.000,0.000,-0.000,-4.265,-0.000,-1.147,-1.445,3.177,-1.445,1.147,1.445,3.177,1.445,-1.147,1.445,3.177,1.445,1.147,-1.445,3.177,-1.445
0.000,5.087,-0.000,0.670,0.000,8.497,-0.000,4.081,0.000,8.497,-0.000,4.081,0.000,5.638,-0.000,-4.265,1.147,7.943,-1.445,3.177,1.147,7.943,1.445,3.177,-1.147,7.943,1.445,3.177,-1.147,7.943,-1.445,3.177
-8.238,1.147,1.147,1.147,-8.238,-1.147,-1.147,-1.147,-8.238,-1.147,1.147,-1.147,-8.238,1.147,-1.147,1.147,-19.397,-0.000,-0.000,-0.000,-7.633,-0.000,-0.000,-0.000,-7.633,-0.000,-0.000,-0.000,-7.633,-0.000,-0.000,-0.000
-1.147,3.177,1.445,7.943,1.147,3.177,1.445,7.943,1.147,3.177,-1.445,7.943,-1.147,3.177,-1.445,7.943,0.000,-4.265,-0.000,5.638,0.000,0.670,0.000,5.087,0.000,4.081,0.000,8.497,0.000,4.081,0.000,8.497
-1.147,1.445,3.177,1.445,1.147,1.445,3.177,1.445,-1.147,-1.445,3.177,-1.445,1.147,-1.445,3.177,-1.445,0.000,-0.000,-4.265,-0.000,0.000,0.000,4.081,0.000,0.000,0.000,0.670,0.000,0.000,0.000,4.081,0.000
-1.147,7.943,1.445,3.177,1.147,7.943,1.445,3.177,1.147,7.943,-1.445,3.177,-1.147,7.943,-1.445,3.177,0.000,5.638,-0.000,-4.265,0.000,5.087,0.000,0.670,0.000,8.497,0.000,4.081,0.000,8.497,0.000,4.081
-8.238,1.147,-1.147,1.147,-8.238,-1.147,1.147,-1.147,-8.238,-1.147,-1.147,-1.147,-8.238,1.147,1.147,1.147,-7.633,-0.000,0.000,-0.000,-19.397,-0.000,-0.000,-0.000,-7.633,-0.000,-0.000,-0.000,-7.633,-0.000,-0.000,-0.000
-1.147,3.177,-1.445,7.943,1.147,3.177,-1.445,7.943,1.147,3.177,1.445,7.943,-1.147,3.177,1.445,7.943,0.000,0.670,-0.000,5.087,0.000,-4.265,-0.000,5.638,0.000,4.081,-0.000,8.497,0.000,4.081,0.000,8.497
1.147,-1.445,3.177,-1.445,-1.147,-1.445,3.177,-1.445,1.147,1.445,3.177,1.445,-1.147,1.445,3.177,1.445,-0.000,-0.000,4.081,-0.000,0.000,-0.000,-4.265,-0.000,0.000,-0.000,4.081,-0.000,0.000,0.000,0.670,0.000
-1.147,7.943,-1.445,3.177,1.147,7.943,-1.445,3.177,1.147,7.943,1.445,3.177,-1.147,7.943,1.445,3.177,0.000,5.087,-0.000,0.670,0.000,5.638,-0.000,-4.265,0.000,8.497,-0.000,4.081,0.000,8.497,0.000,4.081
-8.238,-1.147,1.147,-1.147,-8.238,1.147,-1.147,1.147,-8.238,1.147,1.147,1.147,-8.238,-1.147,-1.147,-1.147,-7.633,0.000,-0.000,0.000,-7.633,-0.000,-0.000,-0.000,-19.397,-0.000,-0.000,-0.000,-7.633,0.000,-0.000,0.000
1.147,3.177,-1.445,7.943,-1.147,3.177,-1.445,7.943,-1.147,3.177,1.445,7.943,1.147,3.177,1.445,7.943,-0.000,4.081,0.000,8.497,0.000,4.081,-0.000,8.497,0.000,-4.265,-0.000,5.638,-0.000,0.670,0.000,5.087
-1.147,-1.445,3.177,-1.445,1.147,-1.445,3.177,-1.445,-1.147,1.445,3.177,1.445,1.147,1.445,3.177,1.445,0.000,0.000,0.670,0.000,0.000,-0.000,4.081,-0.000,0.000,-0.000,-4.265,-0.000,0.000,0.000,4.081,0.000
1.147,7.943,-1.445,3.177,-1.147,7.943,-1.445,3.177,-1.147,7.943,1.445,3.177,1.147,7.943,1.445,3.177,-0.000,8.497,0.000,4.081,0.000,8.497,-0.000,4.081,0.000,5.638,-0.000,-4.265,-0.000,5.087,0.000,0.670
-8.238,-1.147,-1.147,-1.147,-8.238,1.147,1.147,1.147,-8.238,1.147,-1.147,1.147,-8.238,-1.147,1.147,-1.147,-7.633,-0.000,0.000,-0.000,-7.633,0.000,-0.000,0.000,-7.633,0.000,0.000,0.000,-19.397,-0.000,-0.000,-0.000
1.147,3.177,1.445,7.943,-1.147,3.177,1.445,7.943,-1.147,3.177,-1.445,7.943,1.147,3.177,-1.445,7.943,0.000,4.081,0.000,8.497,-0.000,4.081,0.000,8.497,-0.000,0.670,0.000,5.087,0.000,-4.265,-0.000,5.638
1.147,1.445,3.177,1.445,-1.147,1.445,3.177,1.445,1.147,-1.445,3.177,-1.445,-1.147,-1.445,3.177,-1.445,-0.000,0.000,4.081,0.000,0.000,0.000,0.670,0.000,-0.000,0.000,4.081,0.000,0.000,-0.000,-4.265,-0.000
1.147,7.943,1.445,3.177,-1.147,7.943,1.445,3.177,-1.147,7.943,-1.445,3.177,1.147,7.943,-1.445,3.177,0.000,8.497,0.000,4.081,-0.000,8.497,0.000,4.081,-0.000,5.087,0.000,0.670,0.000,5.638,-0.000,-4.265
